,Loss,R2,R2_no_scale
PS 38:4,0.0031879554535677278,0.5477602920281001,0.547760292131996
PC 38:3,0.002687448229727582,0.6469424048481598,0.6469424043153498
HexCer 42:1,0.0030498110384041773,0.7100814209024644,0.7100814211924973
PG(40:3),0.014217212037015264,0.36051925103500154,0.36051924933255125
PC 38:2,0.0013417036532233752,0.6570391731411389,0.6570391722664694
PE(40:2(OH)),0.012510112460957967,0.39037154441688054,0.3903715451255777
PC 38:1,0.0021362088338093485,0.7432064617795919,0.7432064611789407
PG(40:1),0.0033208559830542857,0.7039684409979008,0.7039684415098237
HexCer 42:2;O3,0.003935222546202153,0.7360802327974219,0.7360802323611306
HexCer 42:1;O3,0.0039007570066026606,0.7365329398227087,0.7365329395956792
HexCer(t42:0),0.003529213818629184,0.6932920764744462,0.6932920761776613
SM(t42:1),0.0034489461549359578,0.36521273714658176,0.36521273681196564
PC(40:7),0.005251572938233457,0.5571978440717291,0.557197841476089
PG(42:6),0.0020812293507901825,0.550447239161602,0.5504472381275807
Hex2Cer 32:0,0.004279887381439536,0.39490566567981117,0.39490566763310175
SHexCer 38:1;3,0.0048075035074713595,0.36643551129051044,0.36643551029466553
PC(40:4),0.0022332135946814486,0.4472514983116834,0.4472514967165818
PI-Cer(t32:1),0.006805605915321483,0.33298224104869456,0.33298224370065244
PC 34:0,0.0053730632531814706,0.6669016641711326,0.6669016653608839
PG(36:1(OH)),0.001708705321243413,0.5134356071164724,0.5134356085727747
PC 36:1,0.002206478089285896,0.5402907259476566,0.5402907233367613
SM 42:2,0.0006632624429863003,0.5916459439694808,0.5916459444010782
PE 40:6,0.002054279246994563,0.5188685999510464,0.5188685993286661
PC 38:6,0.00179253217723951,0.7269277303439955,0.7269277307376596
PE 38:6,0.003319972005154992,0.6121153883520396,0.6121153856031177
PC 40:6,0.002096658247542626,0.5686552151772423,0.5686552162225478
PE 38:4,0.001985041164598294,0.5279525555826436,0.5279525554489978
PC 34:1,0.0028408742763483454,0.44463818812590405,0.4446381835331767
HexCer 42:2,0.0028255154390133485,0.7794797978686023,0.7794797986118283
PC 35:1,0.005164062605984142,0.24528536233514062,0.24528536380730676
PE O-38:5,0.0061180702532211105,0.09134868898175383,0.09134868770050535
PI-Cer(t30:1),0.0070086460983341415,0.5927631404070365,0.5927631415559295
PC 32:0,0.004933784126593244,0.7860646283387721,0.7860646290188068
PC 32:1,0.0031628440453185685,0.7066501902749259,0.7066501913533113
SM 36:1,0.00517599661637153,0.7583055037520491,0.7583055033592281
PC 31:0,0.0019395818927194434,0.349157965841392,0.3491579660456674
PC 38:4,0.0014567124523507085,0.7440780508609167,0.7440780498240047
PE 36:4,0.0017427366971077118,0.2562057914118483,0.25620579353156786
PI-Cer(t28:0),0.012335061210959541,0.4730599083229895,0.4730599095555298
LPC 18:1,0.006308645230374647,0.31695451381600787,0.3169545146323251
LPC O-16:2,0.006932396275205595,0.614828882589943,0.6148288826524186
LPC 16:0,0.00840071884253448,0.354192530657921,0.35419253078452817
LPC O-18:2,0.01095271018373348,0.24282173835495774,0.2428217351125456
LPC 18:0,0.002995409528027042,0.3336000357760448,0.3336000363924746
PC 36:4,0.00312662129076422,0.8024694498386278,0.8024694512012225
