,lipid,n,method,ML,R2
11399,HexCer 42:2,1000,gaussian,ridge,0.6644
11400,HexCer 42:2,1000,gaussian,lr,0.6643
11401,HexCer 42:2,1000,gaussian,lasso,-0.0002
11402,HexCer 42:2,1000,gaussian,dummy,-0.0002
11403,PIP(O-36:5) ,1000,gaussian,catboost,0.1711
11404,PIP(O-36:5) ,1000,gaussian,ridge,0.1561
11405,PIP(O-36:5) ,1000,gaussian,lr,0.156
11406,PIP(O-36:5) ,1000,gaussian,xgboost,0.1505
11407,PIP(O-36:5) ,1000,gaussian,knn,0.049
11408,PIP(O-36:5) ,1000,gaussian,lasso,-0.0001
11409,PIP(O-36:5) ,1000,gaussian,dummy,-0.0001
11410,PC 36:2,1000,gaussian,catboost,0.2942
11411,PC 36:2,1000,gaussian,xgboost,0.2467
11412,PC 36:2,1000,gaussian,knn,0.2352
11413,PC 36:2,1000,gaussian,ridge,0.2327
11414,PC 36:2,1000,gaussian,lr,0.2326
11415,PC 36:2,1000,gaussian,lasso,-0.0002
11416,PC 36:2,1000,gaussian,dummy,-0.0002
11417,PE 40:6,1000,gaussian,catboost,0.5511
11418,PE 40:6,1000,gaussian,xgboost,0.5377
11419,PE 40:6,1000,gaussian,knn,0.5247
11420,PE 40:6,1000,gaussian,lr,0.4795
11421,PE 40:6,1000,gaussian,ridge,0.4795
11422,PE 40:6,1000,gaussian,lasso,-0.0001
11423,PE 40:6,1000,gaussian,dummy,-0.0001
11424,PE(44:11(OH)) ,1000,gaussian,ridge,0.0683
11425,PE(44:11(OH)) ,1000,gaussian,lr,0.0682
11426,PE(44:11(OH)) ,1000,gaussian,xgboost,0.0638
11427,PE(44:11(OH)) ,1000,gaussian,catboost,0.0616
11428,PE(44:11(OH)) ,1000,gaussian,lasso,-0.0
11429,PE(44:11(OH)) ,1000,gaussian,dummy,-0.0
11430,PE(44:11(OH)) ,1000,gaussian,knn,-0.0868
11431,PE 40:4,1000,gaussian,catboost,0.3654
11432,PE 40:4,1000,gaussian,xgboost,0.3155
11433,PE 40:4,1000,gaussian,knn,0.2949
11434,PE 40:4,1000,gaussian,lr,0.2478
11435,PE 40:4,1000,gaussian,ridge,0.2478
11436,PE 40:4,1000,gaussian,lasso,-0.0001
11437,PE 40:4,1000,gaussian,dummy,-0.0001
11438,PG(40:3) ,1000,gaussian,catboost,0.3571
11439,PG(40:3) ,1000,gaussian,xgboost,0.3172
11440,PG(40:3) ,1000,gaussian,ridge,0.3006
11441,PG(40:3) ,1000,gaussian,lr,0.3005
11442,PG(40:3) ,1000,gaussian,knn,0.2788
11443,PG(40:3) ,1000,gaussian,lasso,-0.0001
11444,PG(40:3) ,1000,gaussian,dummy,-0.0001
11445,PGP(34:1) ,1000,gaussian,catboost,0.3453
11446,PGP(34:1) ,1000,gaussian,lr,0.3047
11447,PGP(34:1) ,1000,gaussian,ridge,0.3047
11448,PGP(34:1) ,1000,gaussian,xgboost,0.3042
11449,PGP(34:1) ,1000,gaussian,knn,0.2634
11450,PGP(34:1) ,1000,gaussian,lasso,-0.0
11451,PGP(34:1) ,1000,gaussian,dummy,-0.0
11452,PI-Cer(t30:1) ,1000,gaussian,catboost,0.6234
11453,PI-Cer(t30:1) ,1000,gaussian,knn,0.6014
11454,PI-Cer(t30:1) ,1000,gaussian,xgboost,0.5663
11455,PI-Cer(t30:1) ,1000,gaussian,lr,0.4889
11456,PI-Cer(t30:1) ,1000,gaussian,ridge,0.4889
11457,PI-Cer(t30:1) ,1000,gaussian,lasso,-0.0001
11458,PI-Cer(t30:1) ,1000,gaussian,dummy,-0.0001
11459,PE 36:2,1000,gaussian,catboost,0.3834
11460,PE 36:2,1000,gaussian,xgboost,0.3287
11461,PE 36:2,1000,gaussian,lr,0.3277
11462,PE 36:2,1000,gaussian,ridge,0.3277
11463,PE 36:2,1000,gaussian,knn,0.3262
11464,PE 36:2,1000,gaussian,lasso,-0.0001
11465,PE 36:2,1000,gaussian,dummy,-0.0001
11466,PC 31:0,1000,gaussian,catboost,0.5171
11467,PC 31:0,1000,gaussian,knn,0.4686
11468,PC 31:0,1000,gaussian,xgboost,0.4119
11469,PC 31:0,1000,gaussian,ridge,0.2494
11470,PC 31:0,1000,gaussian,lr,0.2493
11471,PC 31:0,1000,gaussian,lasso,-0.0001
11472,PC 31:0,1000,gaussian,dummy,-0.0001
11473,LPC O-18:2,1000,gaussian,catboost,0.2768
11474,LPC O-18:2,1000,gaussian,knn,0.2017
11475,LPC O-18:2,1000,gaussian,ridge,0.1976
11476,LPC O-18:2,1000,gaussian,lr,0.1975
11477,LPC O-18:2,1000,gaussian,xgboost,0.1814
11478,LPC O-18:2,1000,gaussian,lasso,-0.0001
11479,LPC O-18:2,1000,gaussian,dummy,-0.0001
11480,PC 38:1,1000,gaussian,catboost,0.7694
11481,PC 38:1,1000,gaussian,knn,0.7693
11482,PC 38:1,1000,gaussian,xgboost,0.7352
11483,PC 38:1,1000,gaussian,lr,0.6497
11484,PC 38:1,1000,gaussian,ridge,0.6497
11485,PC 38:1,1000,gaussian,lasso,-0.0002
11486,PC 38:1,1000,gaussian,dummy,-0.0002
11487,PC 35:2,1000,gaussian,catboost,0.421
11488,PC 35:2,1000,gaussian,xgboost,0.3903
11489,PC 35:2,1000,gaussian,lr,0.3702
11490,PC 35:2,1000,gaussian,ridge,0.3702
11491,PC 35:2,1000,gaussian,knn,0.3482
11492,PC 35:2,1000,gaussian,lasso,-0.0002
11493,PC 35:2,1000,gaussian,dummy,-0.0002
11494,HexCer(t40:0) ,1000,gaussian,knn,0.7258
11495,HexCer(t40:0) ,1000,gaussian,catboost,0.7245
11496,HexCer(t40:0) ,1000,gaussian,xgboost,0.6937
11497,HexCer(t40:0) ,1000,gaussian,lr,0.6094
11498,HexCer(t40:0) ,1000,gaussian,ridge,0.6094
11499,HexCer(t40:0) ,1000,gaussian,lasso,-0.0002
11500,HexCer(t40:0) ,1000,gaussian,dummy,-0.0002
11501,PG(42:6) ,1000,gaussian,knn,0.6281
11502,PG(42:6) ,1000,gaussian,catboost,0.6208
11503,PG(42:6) ,1000,gaussian,xgboost,0.5824
11504,PG(42:6) ,1000,gaussian,ridge,0.4855
11505,PG(42:6) ,1000,gaussian,lr,0.4854
11506,PG(42:6) ,1000,gaussian,lasso,-0.0001
11507,PG(42:6) ,1000,gaussian,dummy,-0.0001
11508,PG(38:2) ,1000,gaussian,catboost,0.3904
11509,PG(38:2) ,1000,gaussian,knn,0.3601
11510,PG(38:2) ,1000,gaussian,xgboost,0.3149
11511,PG(38:2) ,1000,gaussian,lr,0.2652
11512,PG(38:2) ,1000,gaussian,ridge,0.2652
11513,PG(38:2) ,1000,gaussian,lasso,-0.0
11514,PG(38:2) ,1000,gaussian,dummy,-0.0
11515,PA 38:3,1000,gaussian,catboost,0.3247
11516,PA 38:3,1000,gaussian,knn,0.2656
11517,PA 38:3,1000,gaussian,xgboost,0.2169
11518,PA 38:3,1000,gaussian,ridge,0.2155
11519,PA 38:3,1000,gaussian,lr,0.2154
11520,PA 38:3,1000,gaussian,lasso,-0.0
11521,PA 38:3,1000,gaussian,dummy,-0.0
11522,PG(36:1(OH)) ,1000,gaussian,catboost,0.5388
11523,PG(36:1(OH)) ,1000,gaussian,xgboost,0.5084
11524,PG(36:1(OH)) ,1000,gaussian,knn,0.5069
11525,PG(36:1(OH)) ,1000,gaussian,lr,0.4704
11526,PG(36:1(OH)) ,1000,gaussian,ridge,0.4704
11527,PG(36:1(OH)) ,1000,gaussian,lasso,-0.0001
11528,PG(36:1(OH)) ,1000,gaussian,dummy,-0.0001
11529,PI-Cer(t28:0) ,1000,gaussian,catboost,0.4807
11530,PI-Cer(t28:0) ,1000,gaussian,xgboost,0.4287
11531,PI-Cer(t28:0) ,1000,gaussian,knn,0.4273
11532,PI-Cer(t28:0) ,1000,gaussian,ridge,0.4221
11533,PI-Cer(t28:0) ,1000,gaussian,lr,0.422
11534,PI-Cer(t28:0) ,1000,gaussian,lasso,-0.0
11535,PI-Cer(t28:0) ,1000,gaussian,dummy,-0.0
11536,PA(38:1) ,1000,gaussian,catboost,0.3507
11537,PA(38:1) ,1000,gaussian,lr,0.2987
11538,PA(38:1) ,1000,gaussian,ridge,0.2987
11539,PA(38:1) ,1000,gaussian,xgboost,0.2958
11540,PA(38:1) ,1000,gaussian,knn,0.2746
11541,PA(38:1) ,1000,gaussian,lasso,-0.0001
11542,PA(38:1) ,1000,gaussian,dummy,-0.0001
11543,PE(O-34:1) ,1000,gaussian,catboost,0.523
11544,PE(O-34:1) ,1000,gaussian,knn,0.4814
11545,PE(O-34:1) ,1000,gaussian,lr,0.4285
11546,PE(O-34:1) ,1000,gaussian,ridge,0.4285
11547,PE(O-34:1) ,1000,gaussian,xgboost,0.426
11548,PE(O-34:1) ,1000,gaussian,lasso,-0.0
11549,PE(O-34:1) ,1000,gaussian,dummy,-0.0
11550,PE O-39:7,1000,gaussian,catboost,0.3063
11551,PE O-39:7,1000,gaussian,xgboost,0.2628
11552,PE O-39:7,1000,gaussian,knn,0.2318
11553,PE O-39:7,1000,gaussian,lr,0.2243
11554,PE O-39:7,1000,gaussian,ridge,0.2243
11555,PE O-39:7,1000,gaussian,lasso,-0.0001
11556,PE O-39:7,1000,gaussian,dummy,-0.0001
11557,PC(40:4) ,1000,gaussian,catboost,0.5361
11558,PC(40:4) ,1000,gaussian,knn,0.5025
11559,PC(40:4) ,1000,gaussian,xgboost,0.4425
11560,PC(40:4) ,1000,gaussian,ridge,0.4011
11561,PC(40:4) ,1000,gaussian,lr,0.401
11562,PC(40:4) ,1000,gaussian,lasso,-0.0001
11563,PC(40:4) ,1000,gaussian,dummy,-0.0001
11564,PC(P-40:6) ,1000,gaussian,catboost,0.7267
11565,PC(P-40:6) ,1000,gaussian,knn,0.7231
11566,PC(P-40:6) ,1000,gaussian,xgboost,0.6869
11567,PC(P-40:6) ,1000,gaussian,lr,0.595
11568,PC(P-40:6) ,1000,gaussian,ridge,0.595
11569,PC(P-40:6) ,1000,gaussian,lasso,-0.0002
11570,PC(P-40:6) ,1000,gaussian,dummy,-0.0002
11571,Hex2Cer 32:1,1000,gaussian,catboost,0.4125
11572,Hex2Cer 32:1,1000,gaussian,xgboost,0.3662
11573,Hex2Cer 32:1,1000,gaussian,knn,0.3466
11574,Hex2Cer 32:1,1000,gaussian,lr,0.3434
11575,Hex2Cer 32:1,1000,gaussian,ridge,0.3434
11576,Hex2Cer 32:1,1000,gaussian,lasso,-0.0001
11577,Hex2Cer 32:1,1000,gaussian,dummy,-0.0001
11578,PC 32:1,1000,gaussian,catboost,0.7575
11579,PC 32:1,1000,gaussian,knn,0.7463
11580,PC 32:1,1000,gaussian,xgboost,0.7143
11581,PC 32:1,1000,gaussian,ridge,0.658
11582,PC 32:1,1000,gaussian,lr,0.6579
11583,PC 32:1,1000,gaussian,lasso,-0.0001
11584,PC 32:1,1000,gaussian,dummy,-0.0001
11585,PG(40:1) ,1000,gaussian,catboost,0.7248
11586,PG(40:1) ,1000,gaussian,knn,0.7164
11587,PG(40:1) ,1000,gaussian,xgboost,0.6805
11588,PG(40:1) ,1000,gaussian,lr,0.6236
11589,PG(40:1) ,1000,gaussian,ridge,0.6236
11590,PG(40:1) ,1000,gaussian,lasso,-0.0001
11591,PG(40:1) ,1000,gaussian,dummy,-0.0001
11592,PA(36:3) ,1000,gaussian,catboost,0.3766
11593,PA(36:3) ,1000,gaussian,knn,0.3281
11594,PA(36:3) ,1000,gaussian,xgboost,0.2856
11595,PA(36:3) ,1000,gaussian,ridge,0.2685
11596,PA(36:3) ,1000,gaussian,lr,0.2684
11597,PA(36:3) ,1000,gaussian,lasso,-0.0001
11598,PA(36:3) ,1000,gaussian,dummy,-0.0001
11599,HexCer 36:0,1000,gaussian,catboost,0.6022
11600,HexCer 36:0,1000,gaussian,xgboost,0.5912
11601,HexCer 36:0,1000,gaussian,knn,0.5749
11602,HexCer 36:0,1000,gaussian,lr,0.5399
11603,HexCer 36:0,1000,gaussian,ridge,0.5399
11604,HexCer 36:0,1000,gaussian,lasso,-0.0002
11605,HexCer 36:0,1000,gaussian,dummy,-0.0002
11606,PE O-36:2,1000,gaussian,catboost,0.5917
11607,PE O-36:2,1000,gaussian,knn,0.5673
11608,PE O-36:2,1000,gaussian,xgboost,0.5341
11609,PE O-36:2,1000,gaussian,lr,0.494
11610,PE O-36:2,1000,gaussian,ridge,0.494
11611,PE O-36:2,1000,gaussian,lasso,-0.0002
11612,PE O-36:2,1000,gaussian,dummy,-0.0002
11613,PS(38:0) ,1000,gaussian,knn,0.7831
11614,PS(38:0) ,1000,gaussian,catboost,0.7807
11615,PS(38:0) ,1000,gaussian,xgboost,0.7424
11616,PS(38:0) ,1000,gaussian,lr,0.6468
11617,PS(38:0) ,1000,gaussian,ridge,0.6468
11618,PS(38:0) ,1000,gaussian,lasso,-0.0002
11619,PS(38:0) ,1000,gaussian,dummy,-0.0002
11620,LPC 15:1,1000,gaussian,knn,0.8009
11621,LPC 15:1,1000,gaussian,catboost,0.7954
11622,LPC 15:1,1000,gaussian,xgboost,0.7859
11623,LPC 15:1,1000,gaussian,lr,0.6598
11624,LPC 15:1,1000,gaussian,ridge,0.6598
11625,LPC 15:1,1000,gaussian,lasso,-0.0002
11626,LPC 15:1,1000,gaussian,dummy,-0.0002
11627,PC 35:1,1000,gaussian,catboost,0.274
11628,PC 35:1,1000,gaussian,xgboost,0.2231
11629,PC 35:1,1000,gaussian,knn,0.2129
11630,PC 35:1,1000,gaussian,ridge,0.1926
11631,PC 35:1,1000,gaussian,lr,0.1925
11632,PC 35:1,1000,gaussian,lasso,-0.0002
11633,PC 35:1,1000,gaussian,dummy,-0.0002
11634,PE 38:4,1000,gaussian,catboost,0.5687
11635,PE 38:4,1000,gaussian,knn,0.5368
11636,PE 38:4,1000,gaussian,xgboost,0.5296
11637,PE 38:4,1000,gaussian,lr,0.4596
11638,PE 38:4,1000,gaussian,ridge,0.4596
11639,PE 38:4,1000,gaussian,lasso,-0.0001
11640,PE 38:4,1000,gaussian,dummy,-0.0001
11641,PA(P-38:6) ,1000,gaussian,catboost,0.1136
11642,PA(P-38:6) ,1000,gaussian,lr,0.1108
11643,PA(P-38:6) ,1000,gaussian,ridge,0.1108
11644,PA(P-38:6) ,1000,gaussian,xgboost,0.105
11645,PA(P-38:6) ,1000,gaussian,lasso,-0.0
11646,PA(P-38:6) ,1000,gaussian,dummy,-0.0
11647,PA(P-38:6) ,1000,gaussian,knn,-0.0208
11648,PE 34:1,1000,gaussian,catboost,0.2225
11649,PE 34:1,1000,gaussian,lr,0.1642
11650,PE 34:1,1000,gaussian,ridge,0.1642
11651,PE 34:1,1000,gaussian,xgboost,0.1457
11652,PE 34:1,1000,gaussian,knn,0.1348
11653,PE 34:1,1000,gaussian,lasso,-0.0
11654,PE 34:1,1000,gaussian,dummy,-0.0
11655,HexCer 40:1,1000,gaussian,knn,0.7938
11656,HexCer 40:1,1000,gaussian,catboost,0.7908
11657,HexCer 40:1,1000,gaussian,xgboost,0.7682
11658,HexCer 40:1,1000,gaussian,lr,0.6487
11659,HexCer 40:1,1000,gaussian,ridge,0.6487
11660,HexCer 40:1,1000,gaussian,lasso,-0.0003
11661,HexCer 40:1,1000,gaussian,dummy,-0.0003
11662,PE-Cer(d46:3) ,1000,gaussian,knn,0.7575
11663,PE-Cer(d46:3) ,1000,gaussian,catboost,0.7541
11664,PE-Cer(d46:3) ,1000,gaussian,xgboost,0.6944
11665,PE-Cer(d46:3) ,1000,gaussian,lr,0.5714
11666,PE-Cer(d46:3) ,1000,gaussian,ridge,0.5714
11667,PE-Cer(d46:3) ,1000,gaussian,lasso,-0.0
11668,PE-Cer(d46:3) ,1000,gaussian,dummy,-0.0
11669,PA 42:7,1000,gaussian,catboost,0.5441
11670,PA 42:7,1000,gaussian,knn,0.5357
11671,PA 42:7,1000,gaussian,xgboost,0.4695
11672,PA 42:7,1000,gaussian,ridge,0.4269
11673,PA 42:7,1000,gaussian,lr,0.4268
11674,PA 42:7,1000,gaussian,lasso,-0.0001
11675,PA 42:7,1000,gaussian,dummy,-0.0001
11676,PE(32:1) ,1000,gaussian,catboost,0.5053
11677,PE(32:1) ,1000,gaussian,knn,0.4551
11678,PE(32:1) ,1000,gaussian,xgboost,0.44
11679,PE(32:1) ,1000,gaussian,ridge,0.4234
11680,PE(32:1) ,1000,gaussian,lr,0.4233
11681,PE(32:1) ,1000,gaussian,lasso,-0.0001
11682,PE(32:1) ,1000,gaussian,dummy,-0.0001
11683,PC 38:2,1000,gaussian,catboost,0.6856
11684,PC 38:2,1000,gaussian,knn,0.6729
11685,PC 38:2,1000,gaussian,xgboost,0.6475
11686,PC 38:2,1000,gaussian,lr,0.5906
11687,PC 38:2,1000,gaussian,ridge,0.5906
11688,PC 38:2,1000,gaussian,lasso,-0.0001
11689,PC 38:2,1000,gaussian,dummy,-0.0001
11690,PE(40:9) ,1000,gaussian,catboost,0.6487
11691,PE(40:9) ,1000,gaussian,xgboost,0.6158
11692,PE(40:9) ,1000,gaussian,knn,0.6146
11693,PE(40:9) ,1000,gaussian,ridge,0.5989
11694,PE(40:9) ,1000,gaussian,lr,0.5988
11695,PE(40:9) ,1000,gaussian,lasso,-0.0001
11696,PE(40:9) ,1000,gaussian,dummy,-0.0001
11697,PC 37:1,1000,gaussian,catboost,0.1847
11698,PC 37:1,1000,gaussian,xgboost,0.1419
11699,PC 37:1,1000,gaussian,ridge,0.129
11700,PC 37:1,1000,gaussian,lr,0.1289
11701,PC 37:1,1000,gaussian,knn,0.1003
11702,PC 37:1,1000,gaussian,lasso,-0.0002
11703,PC 37:1,1000,gaussian,dummy,-0.0002
11704,PG 32:0,1000,gaussian,catboost,0.2522
11705,PG 32:0,1000,gaussian,ridge,0.2154
11706,PG 32:0,1000,gaussian,lr,0.2153
11707,PG 32:0,1000,gaussian,xgboost,0.203
11708,PG 32:0,1000,gaussian,knn,0.1571
11709,PG 32:0,1000,gaussian,lasso,-0.0001
11710,PG 32:0,1000,gaussian,dummy,-0.0001
11711,PA(42:8) ,1000,gaussian,catboost,0.4669
11712,PA(42:8) ,1000,gaussian,knn,0.4331
11713,PA(42:8) ,1000,gaussian,xgboost,0.3736
11714,PA(42:8) ,1000,gaussian,ridge,0.3602
11715,PA(42:8) ,1000,gaussian,lr,0.3601
11716,PA(42:8) ,1000,gaussian,lasso,-0.0001
11717,PA(42:8) ,1000,gaussian,dummy,-0.0001
11718,PA(40:6(OH)) ,1000,gaussian,catboost,0.6736
11719,PA(40:6(OH)) ,1000,gaussian,knn,0.6615
11720,PA(40:6(OH)) ,1000,gaussian,xgboost,0.5918
11721,PA(40:6(OH)) ,1000,gaussian,ridge,0.5187
11722,PA(40:6(OH)) ,1000,gaussian,lr,0.5186
11723,PA(40:6(OH)) ,1000,gaussian,lasso,-0.0001
11724,PA(40:6(OH)) ,1000,gaussian,dummy,-0.0001
11725,PE(O-40:6) ,1000,gaussian,catboost,0.1624
11726,PE(O-40:6) ,1000,gaussian,ridge,0.1436
11727,PE(O-40:6) ,1000,gaussian,lr,0.1435
11728,PE(O-40:6) ,1000,gaussian,xgboost,0.1423
11729,PE(O-40:6) ,1000,gaussian,knn,0.0423
11730,PE(O-40:6) ,1000,gaussian,lasso,-0.0
11731,PE(O-40:6) ,1000,gaussian,dummy,-0.0
11732,SM(t40:1) ,1000,gaussian,catboost,0.5296
11733,SM(t40:1) ,1000,gaussian,knn,0.4898
11734,SM(t40:1) ,1000,gaussian,xgboost,0.4766
11735,SM(t40:1) ,1000,gaussian,lr,0.4437
11736,SM(t40:1) ,1000,gaussian,ridge,0.4437
11737,SM(t40:1) ,1000,gaussian,lasso,-0.0002
11738,SM(t40:1) ,1000,gaussian,dummy,-0.0002
11739,PE(40:7) ,1000,gaussian,catboost,0.2772
11740,PE(40:7) ,1000,gaussian,xgboost,0.2592
11741,PE(40:7) ,1000,gaussian,ridge,0.2528
11742,PE(40:7) ,1000,gaussian,lr,0.2527
11743,PE(40:7) ,1000,gaussian,knn,0.1724
11744,PE(40:7) ,1000,gaussian,lasso,-0.0001
11745,PE(40:7) ,1000,gaussian,dummy,-0.0001
11746,PE(36:2) ,1000,gaussian,catboost,0.0824
11747,PE(36:2) ,1000,gaussian,xgboost,0.074
11748,PE(36:2) ,1000,gaussian,ridge,0.0682
11749,PE(36:2) ,1000,gaussian,lr,0.0681
11750,PE(36:2) ,1000,gaussian,lasso,-0.0002
11751,PE(36:2) ,1000,gaussian,dummy,-0.0002
11752,PE(36:2) ,1000,gaussian,knn,-0.0504
11753,PG(34:0) ,1000,gaussian,knn,0.8282
11754,PG(34:0) ,1000,gaussian,catboost,0.8251
11755,PG(34:0) ,1000,gaussian,xgboost,0.8201
11756,PG(34:0) ,1000,gaussian,lr,0.7203
11757,PG(34:0) ,1000,gaussian,ridge,0.7203
11758,PG(34:0) ,1000,gaussian,lasso,-0.0001
11759,PG(34:0) ,1000,gaussian,dummy,-0.0001
11760,PI-Cer(t32:1) ,1000,gaussian,catboost,0.3479
11761,PI-Cer(t32:1) ,1000,gaussian,knn,0.2724
11762,PI-Cer(t32:1) ,1000,gaussian,ridge,0.2648
11763,PI-Cer(t32:1) ,1000,gaussian,lr,0.2647
11764,PI-Cer(t32:1) ,1000,gaussian,xgboost,0.2484
11765,PI-Cer(t32:1) ,1000,gaussian,lasso,-0.0
11766,PI-Cer(t32:1) ,1000,gaussian,dummy,-0.0
11767,HexCer 42:2;O3,1000,gaussian,knn,0.7623
11768,HexCer 42:2;O3,1000,gaussian,catboost,0.7573
11769,HexCer 42:2;O3,1000,gaussian,xgboost,0.7462
11770,HexCer 42:2;O3,1000,gaussian,lr,0.6398
11771,HexCer 42:2;O3,1000,gaussian,ridge,0.6398
11772,HexCer 42:2;O3,1000,gaussian,lasso,-0.0002
11773,HexCer 42:2;O3,1000,gaussian,dummy,-0.0002
11774,PS(40:4) ,1000,gaussian,catboost,0.0986
11775,PS(40:4) ,1000,gaussian,ridge,0.0929
11776,PS(40:4) ,1000,gaussian,lr,0.0928
11777,PS(40:4) ,1000,gaussian,xgboost,0.0872
11778,PS(40:4) ,1000,gaussian,lasso,-0.0001
11779,PS(40:4) ,1000,gaussian,dummy,-0.0001
11780,PS(40:4) ,1000,gaussian,knn,-0.0319
11781,SM 34:1,1000,gaussian,catboost,0.7053
11782,SM 34:1,1000,gaussian,xgboost,0.6809
11783,SM 34:1,1000,gaussian,knn,0.6752
11784,SM 34:1,1000,gaussian,lr,0.2547
11785,SM 34:1,1000,gaussian,ridge,0.2547
11786,SM 34:1,1000,gaussian,lasso,-0.0
11787,SM 34:1,1000,gaussian,dummy,-0.0
11788,HexCer 38:1,1000,gaussian,knn,0.7404
11789,HexCer 38:1,1000,gaussian,catboost,0.7402
11790,HexCer 38:1,1000,gaussian,xgboost,0.7007
11791,HexCer 38:1,1000,gaussian,ridge,0.5936
11792,HexCer 38:1,1000,gaussian,lr,0.5935
11793,HexCer 38:1,1000,gaussian,lasso,-0.0003
11794,HexCer 38:1,1000,gaussian,dummy,-0.0003
11795,PC 38:4,1000,gaussian,knn,0.7937
11796,PC 38:4,1000,gaussian,catboost,0.7919
11797,PC 38:4,1000,gaussian,xgboost,0.7769
11798,PC 38:4,1000,gaussian,lr,0.619
11799,PC 38:4,1000,gaussian,ridge,0.619
11800,PC 38:4,1000,gaussian,lasso,-0.0001
11801,PC 38:4,1000,gaussian,dummy,-0.0001
11802,HexCer(t42:0) ,1000,gaussian,knn,0.7098
11803,HexCer(t42:0) ,1000,gaussian,catboost,0.7098
11804,HexCer(t42:0) ,1000,gaussian,xgboost,0.6696
11805,HexCer(t42:0) ,1000,gaussian,ridge,0.5903
11806,HexCer(t42:0) ,1000,gaussian,lr,0.5902
11807,HexCer(t42:0) ,1000,gaussian,lasso,-0.0002
11808,HexCer(t42:0) ,1000,gaussian,dummy,-0.0002
11809,HexCer(t42:2) ,1000,gaussian,catboost,0.7203
11810,HexCer(t42:2) ,1000,gaussian,knn,0.7164
11811,HexCer(t42:2) ,1000,gaussian,xgboost,0.679
11812,HexCer(t42:2) ,1000,gaussian,ridge,0.6024
11813,HexCer(t42:2) ,1000,gaussian,lr,0.6023
11814,HexCer(t42:2) ,1000,gaussian,lasso,-0.0001
11815,HexCer(t42:2) ,1000,gaussian,dummy,-0.0001
11816,HexCer 40:2,1000,gaussian,catboost,0.6791
11817,HexCer 40:2,1000,gaussian,knn,0.6777
11818,HexCer 40:2,1000,gaussian,xgboost,0.6511
11819,HexCer 40:2,1000,gaussian,lr,0.5569
11820,HexCer 40:2,1000,gaussian,ridge,0.5569
11821,HexCer 40:2,1000,gaussian,lasso,-0.0002
11822,HexCer 40:2,1000,gaussian,dummy,-0.0002
11823,PE O-38:5,1000,gaussian,catboost,0.14
11824,PE O-38:5,1000,gaussian,lr,0.0866
11825,PE O-38:5,1000,gaussian,ridge,0.0866
11826,PE O-38:5,1000,gaussian,xgboost,0.0612
11827,PE O-38:5,1000,gaussian,knn,0.049
11828,PE O-38:5,1000,gaussian,lasso,-0.0001
11829,PE O-38:5,1000,gaussian,dummy,-0.0001
11830,PG(40:6) ,1000,gaussian,knn,0.769
11831,PG(40:6) ,1000,gaussian,catboost,0.7615
11832,PG(40:6) ,1000,gaussian,xgboost,0.7357
11833,PG(40:6) ,1000,gaussian,lr,0.6476
11834,PG(40:6) ,1000,gaussian,ridge,0.6476
11835,PG(40:6) ,1000,gaussian,lasso,-0.0001
11836,PG(40:6) ,1000,gaussian,dummy,-0.0001
11837,PE(P-40:6) ,1000,gaussian,catboost,0.2873
11838,PE(P-40:6) ,1000,gaussian,xgboost,0.2513
11839,PE(P-40:6) ,1000,gaussian,ridge,0.2376
11840,PE(P-40:6) ,1000,gaussian,lr,0.2375
11841,PE(P-40:6) ,1000,gaussian,knn,0.2279
11842,PE(P-40:6) ,1000,gaussian,lasso,-0.0001
11843,PE(P-40:6) ,1000,gaussian,dummy,-0.0001
11844,PA 40:4,1000,gaussian,catboost,0.6772
11845,PA 40:4,1000,gaussian,knn,0.6555
11846,PA 40:4,1000,gaussian,xgboost,0.6237
11847,PA 40:4,1000,gaussian,lr,0.599
11848,PA 40:4,1000,gaussian,ridge,0.599
11849,PA 40:4,1000,gaussian,lasso,-0.0
11850,PA 40:4,1000,gaussian,dummy,-0.0
11851,SHexCer 38:1;3,1000,gaussian,catboost,0.4021
11852,SHexCer 38:1;3,1000,gaussian,knn,0.3472
11853,SHexCer 38:1;3,1000,gaussian,xgboost,0.321
11854,SHexCer 38:1;3,1000,gaussian,ridge,0.2782
11855,SHexCer 38:1;3,1000,gaussian,lr,0.2781
11856,SHexCer 38:1;3,1000,gaussian,lasso,-0.0
11857,SHexCer 38:1;3,1000,gaussian,dummy,-0.0
11858,PC 34:1,1000,gaussian,catboost,0.4933
11859,PC 34:1,1000,gaussian,xgboost,0.4785
11860,PC 34:1,1000,gaussian,knn,0.455
11861,PC 34:1,1000,gaussian,lr,0.3994
11862,PC 34:1,1000,gaussian,ridge,0.3994
11863,PC 34:1,1000,gaussian,lasso,-0.0003
11864,PC 34:1,1000,gaussian,dummy,-0.0003
11865,PC 36:4,1000,gaussian,knn,0.8406
11866,PC 36:4,1000,gaussian,catboost,0.833
11867,PC 36:4,1000,gaussian,xgboost,0.8224
11868,PC 36:4,1000,gaussian,lr,0.7111
11869,PC 36:4,1000,gaussian,ridge,0.7111
11870,PC 36:4,1000,gaussian,lasso,-0.0001
11871,PC 36:4,1000,gaussian,dummy,-0.0001
11872,LPC O-18:3,1000,gaussian,catboost,0.2103
11873,LPC O-18:3,1000,gaussian,ridge,0.1801
11874,LPC O-18:3,1000,gaussian,lr,0.18
11875,LPC O-18:3,1000,gaussian,xgboost,0.1757
