,lipid,n,method,ML,R2
146,PE(42:6) ,closest,NA,knn,-0.0231
147,HexCer 40:1,closest,NA,catboost,0.3639
148,HexCer 40:1,closest,NA,xgboost,0.3269
149,HexCer 40:1,closest,NA,lr,0.2412
150,HexCer 40:1,closest,NA,ridge,0.2412
151,HexCer 40:1,closest,NA,knn,0.2207
152,HexCer 40:1,closest,NA,lasso,-0.0003
153,HexCer 40:1,closest,NA,dummy,-0.0003
154,PE(40:9) ,closest,NA,catboost,0.4682
155,PE(40:9) ,closest,NA,xgboost,0.4269
156,PE(40:9) ,closest,NA,lr,0.4092
157,PE(40:9) ,closest,NA,ridge,0.4092
158,PE(40:9) ,closest,NA,knn,0.3768
159,PE(40:9) ,closest,NA,lasso,-0.0001
160,PE(40:9) ,closest,NA,dummy,-0.0001
161,HexCer 42:2;O3,closest,NA,catboost,0.4018
162,HexCer 42:2;O3,closest,NA,xgboost,0.3697
163,HexCer 42:2;O3,closest,NA,lr,0.2895
164,HexCer 42:2;O3,closest,NA,ridge,0.2895
165,HexCer 42:2;O3,closest,NA,knn,0.2668
166,HexCer 42:2;O3,closest,NA,lasso,-0.0002
167,HexCer 42:2;O3,closest,NA,dummy,-0.0002
168,LPC 18:1,closest,NA,catboost,0.2166
169,LPC 18:1,closest,NA,xgboost,0.1868
170,LPC 18:1,closest,NA,lr,0.1815
171,LPC 18:1,closest,NA,ridge,0.1815
172,LPC 18:1,closest,NA,knn,0.0736
173,LPC 18:1,closest,NA,lasso,-0.0
174,LPC 18:1,closest,NA,dummy,-0.0
175,SM 38:1,closest,NA,catboost,0.3878
176,SM 38:1,closest,NA,xgboost,0.3453
177,SM 38:1,closest,NA,knn,0.299
178,SM 38:1,closest,NA,lr,0.2839
179,SM 38:1,closest,NA,ridge,0.2839
180,SM 38:1,closest,NA,lasso,-0.0
181,SM 38:1,closest,NA,dummy,-0.0
182,HexCer 38:1,closest,NA,catboost,0.327
183,HexCer 38:1,closest,NA,xgboost,0.285
184,HexCer 38:1,closest,NA,lr,0.217
185,HexCer 38:1,closest,NA,ridge,0.217
186,HexCer 38:1,closest,NA,knn,0.1691
187,HexCer 38:1,closest,NA,lasso,-0.0003
188,HexCer 38:1,closest,NA,dummy,-0.0003
189,PE O-42:8,closest,NA,catboost,0.1463
190,PE O-42:8,closest,NA,xgboost,0.1145
191,PE O-42:8,closest,NA,lr,0.0881
192,PE O-42:8,closest,NA,ridge,0.0881
193,PE O-42:8,closest,NA,lasso,-0.0
194,PE O-42:8,closest,NA,dummy,-0.0
195,PE O-42:8,closest,NA,knn,-0.0099
196,PA 36:1,closest,NA,catboost,0.3136
197,PA 36:1,closest,NA,xgboost,0.2619
198,PA 36:1,closest,NA,lr,0.2292
199,PA 36:1,closest,NA,ridge,0.2292
200,PA 36:1,closest,NA,knn,0.1805
201,PA 36:1,closest,NA,lasso,-0.0001
202,PA 36:1,closest,NA,dummy,-0.0001
203,LPC O-18:3,closest,NA,catboost,0.0856
204,LPC O-18:3,closest,NA,lr,0.0603
205,LPC O-18:3,closest,NA,ridge,0.0603
206,LPC O-18:3,closest,NA,xgboost,0.0532
207,LPC O-18:3,closest,NA,lasso,-0.0001
208,LPC O-18:3,closest,NA,dummy,-0.0001
209,LPC O-18:3,closest,NA,knn,-0.0724
210,SM 40:1,closest,NA,catboost,0.2654
211,SM 40:1,closest,NA,xgboost,0.1982
212,SM 40:1,closest,NA,knn,0.1343
213,SM 40:1,closest,NA,lr,0.0907
214,SM 40:1,closest,NA,ridge,0.0907
215,SM 40:1,closest,NA,lasso,-0.0001
216,SM 40:1,closest,NA,dummy,-0.0001
217,PG(38:4) ,closest,NA,catboost,0.4668
218,PG(38:4) ,closest,NA,xgboost,0.4418
219,PG(38:4) ,closest,NA,knn,0.365
220,PG(38:4) ,closest,NA,lr,0.3548
221,PG(38:4) ,closest,NA,ridge,0.3548
222,PG(38:4) ,closest,NA,lasso,-0.0
223,PG(38:4) ,closest,NA,dummy,-0.0
224,PC 36:4,closest,NA,catboost,0.4895
225,PC 36:4,closest,NA,xgboost,0.4708
226,PC 36:4,closest,NA,knn,0.3938
227,PC 36:4,closest,NA,lr,0.3812
228,PC 36:4,closest,NA,ridge,0.3812
229,PC 36:4,closest,NA,lasso,-0.0001
230,PC 36:4,closest,NA,dummy,-0.0001
231,PA(34:1),closest,NA,catboost,0.5024
