,Loss,R2,R2_no_scale
PC(40:4),0.0023640267568881108,0.41413290789121165,0.41413290741855696
PI-Cer(t32:1),0.006879094850077222,0.3262011839211,0.3262011801951768
PC 34:0,0.00577168076998401,0.6422627765841081,0.6422627763032877
PG(36:1(OH)),0.0017704973600568559,0.49863695696172555,0.4986369580184801
PC 36:1,0.0023151826754672935,0.5177903411466823,0.5177903402013017
SM 42:2,0.0008527473568591818,0.4753231359490462,0.47532313803063253
PE 40:6,0.0021189851770073856,0.5043027241495796,0.5043027210658666
PC 38:6,0.002078531014218115,0.6822832003001903,0.6822831982088672
PE 38:6,0.003481524385999127,0.5932711612986201,0.5932711623471578
PC 40:6,0.0020936714011274777,0.5677555525570888,0.5677555532872345
PE 38:4,0.0021465084625427074,0.4938194261077558,0.4938194249993163
PC 34:1,0.0030836783335097063,0.3967000442995496,0.396700045073317
HexCer 42:2,0.002830977520231466,0.7794729465877841,0.7794729460139399
PC 35:1,0.0051849893074590835,0.24294567688743518,0.2429456749081858
PE O-38:5,0.006240479318308496,0.07255916852488675,0.07255916959701611
PI-Cer(t30:1),0.007041158628613408,0.5899930222585963,0.5899930229031443
PC 32:0,0.004902007759060864,0.7873715688618058,0.7873715688983272
PC 32:1,0.0036836091239462283,0.657668147238246,0.6576681463237679
SM 36:1,0.005416959944923184,0.7469985662396277,0.7469985664816221
PC 31:0,0.002324437446876297,0.21615460051368665,0.21615460033209222
PC 38:4,0.0015569735367778875,0.7264700313247844,0.7264700315968157
PE 36:4,0.0018013866971469232,0.2322544259897758,0.2322544299592444
PI-Cer(t28:0),0.012399993482865404,0.4706982220205028,0.4706982229263842
LPC 18:1,0.00655482166718595,0.29031222639408594,0.29031222649945176
LPC O-16:2,0.007378368415500686,0.590228835663485,0.590228834750372
LPC 16:0,0.008746820572700927,0.32749909987038794,0.32749909963677293
LPC O-18:2,0.01130777869701189,0.21827715911091344,0.21827716136191494
LPC 18:0,0.0031514811308659433,0.2983832425716959,0.298383245442181
PC 36:4,0.0031397497804819736,0.8015682913356926,0.8015682908270719
